six,https://raw.githubusercontent.com/benjaminp/six/master/LICENSE,MIT License
sortedcontainers,http://www.grantjenks.com/docs/sortedcontainers/,Apache Software License
soupsieve,https://raw.githubusercontent.com/facelessuser/soupsieve/main/LICENSE.md,MIT License
sqlparse,https://raw.githubusercontent.com/andialbrecht/sqlparse/master/LICENSE,BSD License
tenacity,https://raw.githubusercontent.com/jd/tenacity/master/LICENSE,Apache Software License
testcontainers,https://raw.githubusercontent.com/testcontainers/testcontainers-python/master/LICENSE.txt,Apache Software License
threadpoolctl,https://raw.githubusercontent.com/joblib/threadpoolctl/master/LICENSE,BSD License
tqdm,https://tqdm.github.io,MIT License; Mozilla Public License 2.0 (MPL 2.0)
typing_extensions,https://raw.githubusercontent.com/python/typing_extensions/master/LICENSE,Python Software Foundation License
tzdata,https://raw.githubusercontent.com/python/tzdata/master/LICENSE,Apache Software License
tzlocal,https://github.com/regebro/tzlocal/blob/master/CHANGES.txt,MIT License
uritemplate,https://uritemplate.readthedocs.org,Apache Software License; BSD License
urllib3,https://github.com/urllib3/urllib3/blob/main/CHANGES.rst,MIT License
wrapt,https://raw.githubusercontent.com/GrahamDumpleton/wrapt/master/LICENSE,BSD License
zstandard,https://raw.githubusercontent.com/indygreg/python-zstandard/master/LICENSE,BSD License
